frame,cell_id,x_center,y_center,area,track_id
0,1,148.7840909090909,4.068181818181818,88.0,0
0,2,182.26896551724138,4.482758620689655,145.0,1
0,3,194.72,2.7866666666666666,75.0,2
0,4,206.69421487603304,4.528925619834711,121.0,3
0,5,28.96590909090909,9.159090909090908,176.0,4
0,6,40.66814159292036,13.924778761061948,226.0,5
0,7,168.33678756476684,11.378238341968911,193.0,6
0,8,366.54782608695655,12.121739130434783,115.0,7
0,9,292.5854700854701,14.008547008547009,234.0,8
0,10,189.9056603773585,18.952830188679247,212.0,9
0,11,298.109375,25.354166666666668,192.0,10
0,12,219.94795539033458,24.49814126394052,269.0,11
0,13,320.9450171821306,29.893470790378007,291.0,12
0,14,94.76518218623482,31.502024291497975,247.0,13
0,15,262.6394230769231,32.35576923076923,208.0,14
0,16,24.969325153374232,34.71165644171779,163.0,15
0,17,180.5934065934066,42.01648351648352,182.0,16
0,18,7.221674876847291,47.477832512315274,203.0,17
0,19,124.06077348066299,48.209944751381215,181.0,18
0,20,71.78260869565217,55.405797101449274,207.0,19
0,21,168.04347826086956,57.43961352657005,207.0,20
0,22,231.22222222222223,60.66222222222222,225.0,21
0,23,219.07692307692307,62.032051282051285,156.0,22
0,24,114.94186046511628,62.366279069767444,172.0,23
0,25,144.65725806451613,64.13709677419355,248.0,24
0,26,188.88620689655173,70.73793103448276,290.0,25
0,27,248.95302013422818,69.47651006711409,149.0,26
0,28,260.94594594594594,74.36756756756756,185.0,27
0,29,65.65641025641025,77.93846153846154,195.0,28
0,30,77.35978835978835,78.22751322751323,189.0,29
0,31,44.51030927835052,80.13917525773196,194.0,30
0,32,163.109375,78.78125,64.0,31
0,33,192.71515151515152,87.46060606060605,165.0,32
0,34,171.22142857142856,87.35714285714286,140.0,33
0,35,143.89156626506025,92.43373493975903,166.0,34
0,36,153.95454545454547,90.25,88.0,35
0,37,134.16363636363636,99.7,220.0,36
0,38,327.4537037037037,97.06018518518519,216.0,37
0,39,36.68539325842696,99.9494382022472,178.0,38
0,40,63.25570776255708,106.96803652968036,219.0,39
0,41,145.99107142857142,104.5625,112.0,40
0,42,30.787709497206706,109.72067039106145,179.0,41
0,43,297.3814432989691,114.23195876288659,194.0,42
0,44,166.07725321888412,116.22317596566523,233.0,43
0,45,147.2,113.352,125.0,44
